Time,O1,H1,L1,C1,V1,O2,H2,L2,C2,V2
2019-01-04 00:01:00 +0800 +08,147.74,147.89,147.7,147.82,21658.537976700005,147.81,147.94,147.78,147.88,19861.540406
2019-01-04 00:02:00 +0800 +08,147.84,147.84,147.6,147.67,12286.3567152,147.88,147.95,147.75,147.75,11954.043803999999
2019-01-04 00:03:00 +0800 +08,147.65,147.89,147.49,147.72,15680.133734800002,147.72,147.81,147.66,147.78,16951.955699
2019-01-04 00:04:00 +0800 +08,147.74,147.87,147.71,147.83,11186.9302339,147.77,147.95,147.75,147.95,18001.77945
2019-01-04 00:05:00 +0800 +08,147.85,147.85,147.75,147.77,20753.284866100003,147.95,147.97,147.89,147.91,9446.133888
2019-01-04 00:06:00 +0800 +08,147.78,147.78,147.54,147.55,25915.565034699997,147.9,147.9,147.75,147.75,13783.026477000001
2019-01-04 00:07:00 +0800 +08,147.55,147.57,147.19,147.35,23688.194824,147.75,147.77,147.45,147.45,10091.328882
2019-01-04 00:08:00 +0800 +08,147.35,147.4,147.01,147.07,20624.504684599997,147.45,147.59,147.15,147.19,13409.504512
2019-01-04 00:09:00 +0800 +08,147.03,147.08,146.5,146.66,34498.91868469999,147.22,147.25,146.88,146.91,23531.134833000004
2019-01-04 00:10:00 +0800 +08,146.54,146.65,146.34,146.63,21812.856364099996,146.69,146.71,146.59,146.71,28911.788937999998
2019-01-04 00:11:00 +0800 +08,146.64,147.14,146.64,146.86,19140.8902273,146.67,147.25,146.67,146.98,19953.624211000006
2019-01-04 00:12:00 +0800 +08,146.91,147.02,146.8,146.87,24149.02518150001,146.88,147.18,146.88,146.9,15514.509918999998
2019-01-04 00:13:00 +0800 +08,146.87,146.95,146.5,146.67,26471.2382067,146.85,146.94,146.7,146.7,26702.522556000004
2019-01-04 00:14:00 +0800 +08,146.66,146.7,146.57,146.63,21318.717924000004,146.71,146.77,146.71,146.76,10616.572639999999
2019-01-04 00:15:00 +0800 +08,146.64,146.78,146.56,146.58,11253.9792377,146.78,146.86,146.66,146.72,13306.241064999998
2019-01-04 00:16:00 +0800 +08,146.57,146.6,146.35,146.35,25402.7925536,146.7,146.7,146.46,146.47,20379.868357
2019-01-04 00:17:00 +0800 +08,146.38,146.42,146.23,146.27,22839.9340398,146.44,146.48,146.3,146.37,15437.502493999998
2019-01-04 00:18:00 +0800 +08,146.24,146.43,146.14,146.43,30942.2239879,146.3,146.55,146.25,146.5,35110.721446
2019-01-04 00:19:00 +0800 +08,146.39,146.54,146.37,146.43,20604.344860400015,146.56,146.61,146.48,146.48,23310.445998999996
2019-01-04 00:20:00 +0800 +08,146.44,146.51,146.4,146.5,19832.934108399997,146.59,146.63,146.53,146.63,12685.476333000002
2019-01-04 00:21:00 +0800 +08,146.53,146.63,146.52,146.62,15974.036906700001,146.72,146.72,146.54,146.66,9780.550838
